Market Structure,Regulation Level,Revenue
Perfect Competition,Low Regulation,112.76
Perfect Competition,Low Regulation,90.09
Perfect Competition,Low Regulation,118.15
Perfect Competition,Low Regulation,149.39
Perfect Competition,Low Regulation,86.67
Perfect Competition,Low Regulation,86.67
Perfect Competition,Low Regulation,151.4
Perfect Competition,Low Regulation,122.42
Perfect Competition,Low Regulation,78.27
Perfect Competition,Low Regulation,114.4
Perfect Competition,Low Regulation,78.49
Perfect Competition,Low Regulation,78.41
Perfect Competition,Low Regulation,103.67
Perfect Competition,Low Regulation,26.74
Perfect Competition,Low Regulation,33.46
Perfect Competition,Low Regulation,74.96
Perfect Competition,Low Regulation,58.88
Perfect Competition,Low Regulation,106.25
Perfect Competition,Low Regulation,62.62
Perfect Competition,Low Regulation,44.62
Perfect Competition,Low Regulation,147.35
Perfect Competition,Low Regulation,86.97
Perfect Competition,Low Regulation,97.44
Perfect Competition,Low Regulation,44.17
Perfect Competition,Low Regulation,75.6
Perfect Competition,Low Regulation,98.99
Perfect Competition,Low Regulation,53.95
Perfect Competition,Low Regulation,108.44
Perfect Competition,Low Regulation,73.59
Perfect Competition,Low Regulation,84.62
Perfect Competition,Low Regulation,73.55
Perfect Competition,Low Regulation,161.15
Perfect Competition,Low Regulation,94.55
Perfect Competition,Low Regulation,57.28
Perfect Competition,Low Regulation,124.39
Perfect Competition,Low Regulation,51.45
Perfect Competition,Low Regulation,102.49
Perfect Competition,Low Regulation,25.08
Perfect Competition,Low Regulation,47.62
Perfect Competition,Low Regulation,102.06
Perfect Competition,Low Regulation,121.39
Perfect Competition,Low Regulation,101.15
Perfect Competition,Low Regulation,90.9
Perfect Competition,Low Regulation,84.28
Perfect Competition,Low Regulation,42.25
Perfect Competition,Low Regulation,69.34
Perfect Competition,Low Regulation,78.59
Perfect Competition,Low Regulation,132.76
Perfect Competition,Low Regulation,107.3
Perfect Competition,Low Regulation,32.1
Perfect Competition,Low Regulation,106.6
Perfect Competition,Low Regulation,81.28
Perfect Competition,Low Regulation,70.87
Perfect Competition,Low Regulation,116.86
Perfect Competition,Low Regulation,131.83
Perfect Competition,Low Regulation,128.27
Perfect Competition,Low Regulation,65.07
Perfect Competition,Low Regulation,83.99
Perfect Competition,Low Regulation,106.85
Perfect Competition,Low Regulation,129.85
Perfect Competition,High Regulation,77.93
Perfect Competition,High Regulation,88.4
Perfect Competition,High Regulation,55.54
Perfect Competition,High Regulation,52.33
Perfect Competition,High Regulation,124.03
Perfect Competition,High Regulation,143.44
Perfect Competition,High Regulation,92.46
Perfect Competition,High Regulation,130.85
Perfect Competition,High Regulation,107.94
Perfect Competition,High Regulation,72.0
Perfect Competition,High Regulation,107.93
Perfect Competition,High Regulation,149.93
Perfect Competition,High Regulation,93.75
Perfect Competition,High Regulation,150.88
Perfect Competition,High Regulation,1.52
Perfect Competition,High Regulation,124.37
Perfect Competition,High Regulation,98.14
Perfect Competition,High Regulation,84.36
Perfect Competition,High Regulation,98.31
Perfect Competition,High Regulation,24.08
Perfect Competition,High Regulation,87.19
Perfect Competition,High Regulation,107.78
Perfect Competition,High Regulation,147.78
Perfect Competition,High Regulation,76.53
Perfect Competition,High Regulation,66.17
Perfect Competition,High Regulation,77.12
Perfect Competition,High Regulation,127.7
Perfect Competition,High Regulation,106.76
Perfect Competition,High Regulation,76.12
Perfect Competition,High Regulation,113.35
Perfect Competition,High Regulation,98.5
Perfect Competition,High Regulation,129.61
Perfect Competition,High Regulation,69.97
Perfect Competition,High Regulation,83.33
Perfect Competition,High Regulation,81.03
Perfect Competition,High Regulation,42.79
Perfect Competition,High Regulation,105.6
Perfect Competition,High Regulation,104.35
Perfect Competition,High Regulation,95.21
Perfect Competition,High Regulation,86.66
Perfect Competition,High Regulation,44.51
Perfect Competition,High Regulation,80.02
Perfect Competition,High Regulation,82.8
Perfect Competition,High Regulation,66.39
Perfect Competition,High Regulation,89.27
Perfect Competition,High Regulation,109.45
Perfect Competition,High Regulation,162.36
Perfect Competition,High Regulation,101.26
Perfect Competition,High Regulation,104.22
Perfect Competition,High Regulation,92.37
Perfect Competition,High Regulation,26.54
Perfect Competition,High Regulation,94.08
Perfect Competition,High Regulation,97.18
Perfect Competition,High Regulation,182.95
Perfect Competition,High Regulation,88.16
Perfect Competition,High Regulation,105.79
Perfect Competition,High Regulation,93.79
Perfect Competition,High Regulation,53.31
Perfect Competition,High Regulation,135.82
Perfect Competition,High Regulation,121.87
Monopolistic Competition,Low Regulation,123.27
Monopolistic Competition,Low Regulation,62.57
Monopolistic Competition,Low Regulation,145.1
Monopolistic Competition,Low Regulation,44.99
Monopolistic Competition,Low Regulation,115.98
Monopolistic Competition,Low Regulation,173.22
Monopolistic Competition,Low Regulation,59.67
Monopolistic Competition,Low Regulation,74.82
Monopolistic Competition,Low Regulation,98.59
Monopolistic Competition,Low Regulation,77.06
Monopolistic Competition,Low Regulation,39.68
Monopolistic Competition,Low Regulation,97.48
Monopolistic Competition,Low Regulation,57.11
Monopolistic Competition,Low Regulation,111.93
Monopolistic Competition,Low Regulation,62.21
Monopolistic Competition,Low Regulation,150.35
Monopolistic Competition,Low Regulation,67.07
Monopolistic Competition,Low Regulation,83.53
Monopolistic Competition,Low Regulation,124.07
Monopolistic Competition,Low Regulation,51.09
Monopolistic Competition,Low Regulation,103.15
Monopolistic Competition,Low Regulation,141.69
Monopolistic Competition,Low Regulation,37.65
Monopolistic Competition,Low Regulation,101.62
Monopolistic Competition,Low Regulation,104.31
Monopolistic Competition,Low Regulation,122.94
Monopolistic Competition,Low Regulation,50.88
Monopolistic Competition,Low Regulation,47.9
Monopolistic Competition,Low Regulation,113.66
Monopolistic Competition,Low Regulation,105.63
Monopolistic Competition,Low Regulation,103.97
Monopolistic Competition,Low Regulation,107.4
Monopolistic Competition,Low Regulation,70.76
Monopolistic Competition,Low Regulation,103.32
Monopolistic Competition,Low Regulation,105.49
